Film,Rotten Tomatoes  critics,Metacritic  critics,Average critics ,Rotten Tomatoes Audience ,Metacritic Audience ,Rotten Tomatoes vs Metacritic  deviance,Average audience ,Audience vs Critics deviance ,Primary Genre,Genres,Script Type,Opening weekend ($million),Opening Weekend,Domestic gross ($million),Domestic Gross,Foreign Gross ($million),Foreign Gross,Worldwide Gross,Worldwide Gross ($million), of Gross earned abroad,Budget ($million),Budget collect, Budget recovered opening weekend,Year,Oscar Winners,Oscar Detail,Link
7 Days in Entebbe,26,49,38,39,59,-20,49,-12,thriller,"Thriller, Suspense",based on a true story,1.6,"15,92,645",3.2,"31,89,220",5.5,"54,65,548","86,54,768",87,63.15%,-,-,-,2018,,,https://www.amazon.com/7-Days-Entebbe-Daniel-BrC3BChl/dp/B07BF8T78W/ref=sr_1_2?s=instant-video&ie=UTF8&qid=1546964038&sr=1-2&keywords=7+Days+in+Entebbe
A Simple Favor,85,67,76,77,70,7,73.5,3,thriller,Thriller,adaptation,16.0,"1,60,11,689",53.5,"5,35,48,586",41.3,"4,12,85,014","9,48,33,600",948,43.53%,20,-,-,2018,,,https://www.amazon.com/Simple-Favor-Anna-Kendrick/dp/B07HHWHRS9/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1546963941&sr=1-1&keywords=A+Simple+Favor
Aquaman ,65,55,60,80,73,7,76.5,-17,Action,"Action, Adventure",adaptation,67.9,"6,78,73,522",259.7,"25,97,20,880",681.0,"68,10,00,000","94,07,20,880",941,72.39%,160,-,-,2018,,,-
Bad Samaritan,54,42,48,73,65,8,69,-21,thriller,"Thriller, Suspense",original screenplay,1.7,"17,26,868",3.4,"34,24,744",0.0,0,"34,24,744",34,0,-,-,-,2018,,,https://www.amazon.com/Bad-Samaritan-David-Tennant/dp/B07F1L2CTZ/ref=sr_1_2?s=instant-video&ie=UTF8&qid=1546970011&sr=1-2&keywords=Bad+Samaritan
Beatriz At Dinner,75,68,72,56,52,4,54,18,comedy,comedy,original screenplay,0.1,"1,41,959",7.1,"71,15,854",0.0,0,"71,15,854",7,0.00%,-,-,-,2017,,,https://www.amazon.co.uk/Dinner-Steve-Coogan/dp/B07BMDS55H/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1546981246&sr=1-1&keywords=Beatriz+At+Dinner
Beirut (aka The Negotiator),83,69,76,56,66,-10,61,15,Action,Action,original screenplay,1.7,"17,34,497",5.0,"50,19,226",2.2,"22,39,308","72,58,534",73,30.85%,-,-,-,2018,,,-
Blindspotting,93,76,85,90,79,11,84.5,0,Drama,Drama,original screenplay,0.3,"3,38,999",4.2,"41,53,783",0.0,"25,419","41,79,202",42,0.61%,-,-,-,2018,,,https://www.amazon.com/Blindspotting-Daveed-Diggs/dp/B07G4N3J9R/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1546970094&sr=1-1&keywords=Blindspotting
Detective Chinatown 2,54,48,51,71,-,-,-,-,Action,Action,sequel,0.7,"7,04,047",2.0,"19,83,984",542.1,"54,20,77,932","54,40,61,916",544,99.64%,-,-,-,2018,,,https://www.amazon.com/Detective-Chinatown-Wang-Baoqiang/dp/B01MSC08RY/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1546970420&sr=1-1&keywords=Detective+Chinatown+2
God's Not Dead: A Light in Darkness,13,33,23,53,38,15,45.5,-23,Drama,Drama,sequel,2.7,"26,89,677",5.7,"57,28,940",0.0,0,"57,28,940",57,0,-,-,-,2018,,,https://www.amazon.com/Gods-Not-Dead-Light-Darkness/dp/B07FMJDX7C/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1546974478&sr=1-1&keywords=God27s+Not+Dead3A+A+Light+in+Darkness
Gringo,39,46,43,40,55,-15,47.5,-5,comedy,Black Comedy,original screenplay,2.7,"27,22,420",5.0,"49,69,853",6.0,"60,31,774","1,10,01,627",110,54.83%,-,-,-,2018,,,https://www.amazon.com/Gringo-David-Oyelowo/dp/B078J2R4MC/ref=sr_1_2?s=instant-video&ie=UTF8&qid=1546974536&sr=1-2&keywords=gringo
